,name,location,website,org_type,mission_statement,countries_of_involvement,practice_areas,website_content,error_loading_website
0,Access to Finance Rwanda,Rwanda,http://www.afr.rw/,Development Organization,"Low income Rwandans, especially women and youth, benefit from use of a variety of appropriate financial services",Rwanda,"Fragile & Conflict-affected Environments, Gender Equality, Health, Housing","Search Twitter Linkedin-in Youtube Facebook-f Who we are About us Our History How we work Our Team Partners Focus Areas Supporting Underserved and Marginalised Groups Agriculture Financing Digitizing Financial Services Promoting Inclusive Insurance and the establishment of a longterm savings scheme Policy and Research SupportingUnderserved andMarginalisedGroups Agriculture Finance for Smallholder Farmers Digital Financial Services Promoting Inclusive Insurance and the Establishment of a Long Term Savings Scheme Policy and Research Resource Hub Latest News Multimedia Publications Researches Our work Our Impact Work with us Events Contact us X Twitter Linkedin-in Youtube Facebook-f Who we are About us Our History How we work Our Team Partners Focus Areas Supporting Underserved and Marginalised Groups Agriculture Financing Digitizing Financial Services Promoting Inclusive Insurance and the establishment of a longterm savings scheme Policy and Research SupportingUnderserved andMarginalisedGroups Agriculture Finance for Smallholder Farmers Digital Financial Services Promoting Inclusive Insurance and the Establishment of a Long Term Savings Scheme Policy and Research Resource Hub Latest News Multimedia Publications Researches Our work Our Impact Work with us Events Contact us X Search           Our vision A deeper and more inclusive financial sector that supports the livelihoods and well-being of low income people in Rwanda   Our mission Low-income Rwandans, especially women and youth, benefit from use of a variety of appropriate financial services.   FinScope Survey 2020 Report Learn more  Financial sector outcome • 2016-2020  USD 40.5 M disbursed in loans  97% of target  USD 7.5 M mobilised in savings  103% of target  1,608,566 people accessing new or improved quality financial services  134% of target  1,108,699 people using new or improved quality financial services  149% of target  Promoting financial inclusion through: SupportingUnderserved andMarginalisedGroups Agriculture Finance for Smallholder Farmers Digital Financial Services Promoting Inclusive Insurance and the Establishment of a Long Term Savings Scheme Policy and Research Our impact Blogs - Publications - Success Stories More details Latest news News - Press release More details AFR COVID-19 Response More details Our Impact at a glance Previous Next AFR Newsletter READ OUR LATEST NEWSLETTER  SUBSCRIBE TO OUR NEWSLETTER      AFR Tweets Tweets by AFRwanda               Access to Finance Rwanda KG 5 Avenue, House No.13 Kacyiru P.O BOX 1599 Kigali Twitter Linkedin-in Youtube Facebook-f AFR IS A MEMBER OF THE FSD NETWORK AFR DEVELOPMENT PARTNERS",False
1,AEMFI - Association of Ethiopian Microfinance Institutions,Ethiopia,http://www.aemfi-ethiopia.org/,"National, Regional, Global Network","To enhance the capacity of microfinance institutions and financial cooperatives to deliver financials services to urban and rural households through technical assistance, human capital development, knowledge management, research, networking and advocating and promoting the industry with mutual cooperation from its members, practitioners and key stakeholders.",Ethiopia,Education; Environment & Climate; Financial Consumer Protection; Financial Inclusion; Housing; Livelihoods; MSME Development; Rural & Agricultural Development; Savings-Led Community Finance; Urban Development,,True
2,Aga Khan Foundation USA,United States,https://www.akfusa.org/,Development Organization,"Promote social development, primarily in low income countries.",Afghanistan; Bangladesh; India; Kenya; Kyrgyzstan; Madagascar; Mali; Mozambique; Pakistan; Tajikistan; Tanzania,"Education; Financial Consumer Protection; Food Security & Nutrition; Gender Equality; Rural & Agricultural Development; Urban Development; WASH (Water, Sanitation, & Hygiene); Youth & Children",,True
3,AMA - Afghanistan Microfinance Association,Afghanistan,http://www.ama.org.af/,"National, Regional, Global Network","To build an inclusive, sustainable and responsible development finance sector through policy advocacy, knowledge management, coordination & networking, and capacity building.",Afghanistan,Financial Inclusion,,True
4,AMFA - Azerbaijan Micro-Finance Association,Azerbaijan,http://www.amfa.az/,"National, Regional, Global Network",To strengthen the capacity of micro-finance institutions and to promote effective collective action in advancing the interests of the micro-finance community and its clients.,Azerbaijan,Financial Consumer Protection; Financial Inclusion; Gender Equality; MSME Development,,True
5,AMFI Kenya,Kenya,www.amfi-kenya.com,"National, Regional, Global Network","To champion the aspirations of microfinance institutions through advocacy, capacity building, linkages and research.",Kenya,"Financial Consumer Protection, Financial Inclusion, Housing, Livelihoods, Market Systems Development, MSME Development, Rural & Agricultural Development, Savings-Led Community Finance, WASH (Water, Sanitation, & Hygiene)",,True
6,AMFIU - Association of Microfinance Institutions of Uganda,Uganda,http://www.amfiu.org.ug,"National, Regional, Global Network","To promote a professional, inclusive and responsive microfinance industry that contributes to transformation of livelihoods of Ugandans.",Uganda,Financial Consumer Protection; Financial Inclusion; Rural and Agricultural Development,"   Plot 679 Wamala Road, AMFIU House, Najjanankumbi  0414-259176, 0414 677176  amfiu@amfiu.org.ug       AMFIU     Sidebar  ×    Home About AMFIU What We Do Membership News & Events Resources AMFIU Working Papers Microfinance Banker Studies and Reports ABC Contact Us     Home About AMFIU What We Do Membership News & Events Resources  AMFIU Working Papers Microfinance Banker Studies and Reports ABC Contact Us            COMMITTED TO PROFESSIONAL MICROFINANCE This is embedded within the network’s mission 'Promote a professional, inclusive and responsive microfinance industry that contributes to transformation of livelihoods of Ugandans” LEARN MORE STAKEHOLDERS TOGETHER To discuss pertinent issues in microfinance sector Learn More PARTNERSHIPS FOR SERVICE DELIVERY We work in close collaboration with government, national and international players within the Microfinance Industry. READ MORE                             Welcome to AMFIU     The Association of Microfinance Institutions of Uganda (AMFIU) is an umbrella organisation of microfinance institutions (MFIs) in Uganda. AMFIU was founded in November 1996, through the collaboration of several organisations with interest in microfinance. The main reasons for its establishment were the felt need for MFIs to have a common voice; to lobby government for favourable policies; to share information and experiences; and to link up and network with both local and international actors. AMFIU is a member-founded and member-owned institution. Membership as of December 2020 stands at 125 members. This includes 95 ordinary members (MFIs) and 25 associate members (Other institutions and individuals supporting micro finance activities). Full directory can be downloaded from the members sections.       Learn More                        Call to supply IT related equipments and Services    AMFIUis upgrading its IT systems to be respond to the needs of members and effectively communicate during these times of Covid-19.  AMFIU together with various partners is also developing an information sharing platform. This calls for upgrading the servers, developing a call centre to respond to the complaints and concerns of the users. In addition, this requires very stable Internet connectivity. AMFIU invites proposals from registered and reputable service providers in the different areas to submit proposals and quotations for various the IT equipment and services IT/001:    PowerEdge R840 Rack Server IT/002:    Call Centre Equipment - Business Phone System (PABX) IT/003:     Pure sine wave inverter 1000W/12V IT/004:    Cyberoam Appliance 25iNG + Intrusion Prevention System IT/005:    Dedicated fiber internet – 6 MB/s (up/down) The Technical & Financial Quotations MUST BE SENT via email to edigold.monday@sparkassenstiftung.de and hmpindi@amfiu.org.ug  Kindly send email with the subject “Supply of AMFIU IT EQUIPMENT – Lot Number + Description”        Detailed Specifications for each item can be downloaded here                             What We Do     AMFIU is a National network of Microfinance Institutions (MFIs) and related organization spread throughout Uganda. By December 2020 AMFIU had 125 members. The association is an independent institution enjoying full legal status and complete autonomy in administrative and financial matters. AMFIU was created mainly for the purpose of having a common voice to lobby government to provide a favorable policy environment; share information and experience; and to link up and network with both local and international Microfinance actors.                  Research and Advocacy       Capacity Building       Client Protection       Information Collection and Dissemination       Microfinance and Disability       Performance and Monitoring       Complaint Handling       Social Performance Management       Microfinance and HIV                      How You Can Work With Us          Advertise With Us        Become A Partner        Why Join AMFIU                             We have the right audience that you need   A growing number of people come daily to the AMFIU website to access information about micro-finance in Uganda. This has put us in the privileged position of being able to reach the masses on behalf of our friends and sponsors. Therefore, if you would also like your organization's voice to be heard, click here become an advertiser.                 Join Our Field   With each passing year, our workload here at AMFIU increases. We would not be able to manage everything that we do if it was not for the help of our dedicated and faithful partners. We urge whoever feels they can contribute to micro-finance in Uganda to partner with us. Click here to view all our other partners                                   Join AMFIU   Become part of the growing movement aimed at bringing the best microfinance services to the people of Uganda: Learn more of the benefits.                    AMFIU News and Events                 Webinar: Post Covid-19 Coping Mechanisms for microfinance Institutions and SACCOs     03, Jul 2020   COVID19 has caused significant economic slowdown in the world economy at large and Uganda in particular.  The Uganda Ministry of Finance and Economic...  Read More...       UMRA Credit Management Guidelines for Tier 4 Microfinance Institutions during Covid-19 Pandemic     22, Apr 2020   The Microfinance sector mainly serves the poor people and loans plus savings they deal in should turn around various times for many to benefit.However, in...  Read More...       COVID-19 outbreak: Key points for business continuity for MFIs     16, Apr 2020   COVID-19 continues to cause disruptions to not only the microfinance sector but local economy as a whole. Specifically to the microfinance sector, client...  Read More...                     Our Development Partners                                                               Location & Address Plot 679 Wamala Road, AMFIU House, Najjanankumbi P.O. Box 26056 Kampala, Uganda TEL: 256414259176, 0414 677176 EMAIL: amfiu@amfiu.org.ug Latest Tweets     Subscribe Subscribe to our newsletter for our latest updates.   Sign Up Copyright © AMFIU. All Rights Reserved. Designed by Entapps  Style Selector   Layout Style    Wide  Boxed    Predefined Colors             Background Image        ",False
7,AMIR - Association of Micro Finance Institutions in Rwanda,Rwanda,http://www.amir.org.rw,"National, Regional, Global Network",The mission of AMIR is to offer diversified services to microfinance institutions to enable them to work professionally and contribute to poverty reduction in a sustainable manner.,Rwanda,"Education, Financial Consumer Protection, Financial Inclusion, Savings-Led Community Finance",,True
8,APIM Madagascar - Association Professionnelle des Institutions de Microfinance,Madagascar,http://www.apimfmada.mg/,"National, Regional, Global Network","Promote financial inclusion or access to financial services; encourage cooperation between microfinance institutions; ensure the representation and defense of the collective interests of microfinance institutions, particularly with public authorities ",Madagascar,Education; Financial Consumer Protection; Financial Inclusion; Gender Equality; Livelihoods; Market Systems Development; MSME Development; Rural and Agricultural Development; Savings-led Community Finance; Youth & Children,"Professional Association of Microfinance Institutions Fifanomezantanana mirindra, fampandrosoana ho an'ny rehetra Go to content Home APIMF MISSIONS Structure The General Assembly The Board of Directors The IMF Ethics Committee Members WEEKS TRAINING ACTIVITIES DOCUMENTATIONS NEWS Contact APIMF Association Presentation: 1 - Constitution: The APIMF brings together microfinance institutions that have received either a license or an authorization issued by the Commission de Supervision Bancaire et Financière (CSBF).  It is governed by Law 2005-016 of September 29, 2005, which previously established that it must be a civil association recognized as being of public utility.  It has Statutes, Internal Regulations and a Code of Ethics.  2 - Mandate: The association was created in July 2010 according to article 61 of the law cited above.  Its mandate is to: promote and support member MFIs in order to improve the standard of living in favor of the clients of these MFIs; the promotion of a professional microfinance, sustainable and integrated into the financial sector.  3 - Mission: Its mission is: to improve the legal, economic and political environment for Microfinance activities; the representation of the profession at national and international level; defending the interests of the profession; capacity building of members and contribution to sanitation of the sector.  4 - Governance: The Association is governed by the Board of Directors.  The Board of Directors is made up of twelve (12) members elected by the General Assembly.  Its function is: to propose to the General Assembly the main lines of the general policy and strategy of the Association, the business plan and the budget; recruit staff; to implement the decisions taken by the General Assembly; to supervise and control the activities of the Association.  APIMF Address Lot near II A 119 bis Soavimbahoaka Antananarivo - Madagascar Opening hours Monday to Friday: 8h00–5h00 Search Search: Find us Address Near lot IIA 119bis Soavimbahoaka, Antananarivo Professional Association of Microfinance Institutions Proudly powered by WordPress ",False
9,APSFD-BF - Association Professionnelle des Systèmes Financiers Décentralisés du Burkina Faso,Burkina Faso,http://www.apsfd-burkina.bf/,"National, Regional, Global Network",The Professional Association of Decentralized Financial Systems of Burkina Faso (APSFD-BF)'s mission is to defend the material and moral interests of the profession and to reinforce the capacities of its members by offering quality services adapted to their needs.,Burkina Faso,"Disaster Risk Reduction, Financial Consumer Protection, Financial Inclusion, Gender Equality, Rural & Agricultural Development, Savings-Led Community Finance, Youth & Finance","Home Presentation History Mission and vision Our objectives Executive Management Bodies General Assembly Board of Directors Statutory Auditors Ethics and Deontology Committee News Members Membership conditions List of members Overview of members Media library Photo gallery Videos Publications Contact INFO: The Association through its members on Friday May 8, 2020, to the Ministry of Health, the sum of 7,000,000 FCFA for the fight against the spread of the pandemic of the disease to Covid-19.  Professional Association of Decentralized Financial Systems of burkina Faso.  Historically, the Professional Association of Decentralized Financial Systems of Burkina Faso (AP / SFD-BF) formerly the Professional Association of Microfinance Institutions in Burkina Faso, is Discover the APSFD-BF Zoom Report 2019 of the financial and social performances of the members of the '' AP / SFD-BF video of the official submission of the contribution of the members of the AP / SFD-BF to the Ministry of Health PRESS RELEASE News Institution of the tax on financial activities from January 1, 2021 The Director General of Taxes brings to the attention of taxpayers, in particular banks and financial institutions approved in Burkina Faso, foreign exchange operators, people carrying out (...) Community microfinance: Women share 100 million CFA francs in Houndé On this morning of Saturday December 12, 2020, the women of Houndé got together to share the community microfinance fund.  Initiated under the leadership of the mayor of the city, (...) Micro finance: The investment and development company (SID) celebrated its 10 years The investment and development company (SID) is 10 years old.  To magnify the decade of existence and the decoration of its first person in charge, the SID organized a ceremony on Saturday December 12 (...) ""I have always had the certainty that eliminating poverty from the planet was more of a business of will than of financial means.  [...] Charity, for its part, does not solve anything.  It only perpetuates poverty by depriving the poor of all initiative. ""  Muhammad Yunus The harsh reality remains that most of the poorest people do not yet have access to sustainable and viable financial services, whether it is savings, credit or insurance.  The essential challenge for us will therefore be to eliminate the constraints which exclude the most deprived from full participation in the financial sector.  Together, we can and must build inclusive financial sectors that help people improve their lives Kofi Annan, UN Secretary-General, 2003 The poor are not responsible for their poverty.  They are neither incompetent nor lazy, but victims.  It was society that made them poor.  Everyone must be given the opportunity to become an entrepreneur.  Yunus Muhammad Search Our trainings >> See all trainings >> Registration >> PROMFI framework News Institution of the tax on financial activities as of January 1, 2021 Community microfinance: Women share 100 million CFA francs in Houndé Latest publication >> See all publications Our partners Our social networks Polls Does microfinance fight against poverty Yes No RAS Please leave this field empty: Newsletter Email About the AP / SFD-BF The Professional Association of Financial Systems Decentralized Burkina Faso (AP / SFD-BF )'s mission is to defend the material and moral interests of the profession and strengthen the capacities of its members by offering quality services adapted to their needs.  Our addresses Contact us BURKINA FASO 01 BP 5386 Ouagadougou 01 Send an email apsfdbf@fasonet.bf Telephone / Fax (00226) 25 36 13 78 Useful links PROMFI Canvas PROMPFI Microfinance CGAP © 2011 - 2016 APSFD Burkina - Microfinance.  Design / Production: YAM PUKRI - Administration ",False
